no.,av.pred,response
1,0.054230744,0
2,0.012817342,0
3,0.031468791,0
4,0.000514884,0
5,0.001110907,0
6,0.128004817,0
7,0.000569386,0
8,7.52E-06,0
9,2.564460915,1
10,0.030287369,0
11,0.288278865,1
12,0.001181325,0
13,0.000148409,0
14,0.03845923,0
15,0.800037274,1
16,0.000325887,0
17,0.007360049,0
18,0.003336503,0
19,0.003878501,0
20,0.004915373,0
21,0.026253763,0
22,0.001051906,0
23,0.007131612,0
24,0.014167831,0
25,0.002995895,0
26,0.037026483,0
27,0.004618322,0
28,0.002230039,0
29,0.001455885,0
30,0.606931285,1
31,0.016938124,0
32,0.007494638,0
33,0.015770674,0
34,0.000337099,0
35,0.09907547,0
36,0.005096316,0
37,0.000445421,0
38,0.036316654,0
39,8.88E-06,0
40,1.031889608,1
41,0.151968103,0
42,3.52E-09,0
43,0.073392322,0
44,0.007611243,0
45,0.004354039,0
46,0.068462531,0
47,0.019957818,0
48,0.016425956,0
49,0.268204012,1
50,0.0029119,0
51,0.005458905,0
52,0.144061525,0
53,0.098994891,0
54,0.048051151,0
55,4.26E-05,0
56,0.285513691,1
57,0.0004084,0
58,0.002491228,0
59,0.0004965,0
60,0.005006076,0
61,0.115689577,0
62,0.384517876,1
63,0.003301759,0
64,0.046404756,0
65,0.001586345,0
66,0.000673375,0
67,0.001166138,0
68,0.073038397,0
69,0.000571124,0
70,0.003232695,0
71,0.000618546,0
72,0.571871321,1
73,0.093239909,0
74,0.015166464,0
75,0.011142831,0
76,0.460203328,1
77,7.64E-06,0
78,0.004979812,0
79,0.014344521,0
80,0.174964956,0
81,0.005855781,0
82,0.0055333,0
83,0.162640519,0
84,0.001724388,0
85,0.000847466,0
86,0.021513232,0
87,0.067145154,0
88,0.223881785,1
89,0.000653865,0
90,0.039309282,0
91,0.014739002,0
92,0.167624068,0
93,0.031795062,0
94,0.822224211,1
95,0.001658912,0
96,0.000101531,0
97,0.001735726,0
98,0.00068664,0
99,0.070200608,0
100,0.00032197,0
101,0.000587525,0
102,0.000254282,0
103,0.071271513,0
104,3.256714535,1
105,0.001593015,0
106,0.05791649,0
107,0.000880519,0
108,9.90E-05,0
109,0.000569671,0
110,0.001507618,0
111,0.975588478,1
112,0.074319325,0
113,0.00071668,0
114,1.70E-05,0
115,0.004511643,0
116,0.263121595,1
117,4.63E-08,0
118,0.005291107,0
119,0.020326548,0
120,0.007636464,0
121,0.000611122,0
122,0.004424999,0
123,0.008692631,0
124,0.33404549,1
125,5.61E-09,0
126,0.676954697,1
127,1.279879838,1
128,0.006533125,0
129,0.006705767,0
130,4.58E-06,0
131,0.108151834,0
132,0.42521968,1
133,0.015904111,0
134,0.036907917,0
135,0.005981874,0
136,0.075012824,0
137,0.414334907,1
138,0.187064162,0
139,0.000588099,0
140,0.000815631,0
141,0.334297276,1
142,0.182866215,0
143,0.118568822,0
144,0.108824309,0
145,0.000700261,0
146,0.504094747,1
147,8.22E-05,0
148,2.51E-11,0
149,0.06518719,0
150,0.031231193,0
151,0.167803568,0
152,0.134904534,0
153,0.000337188,0
154,0.022819085,0
155,0.004632339,0
156,0.000584364,0
157,1.191941566,1
158,1.97E-05,0
159,0.056944911,0
160,0.002188458,0
161,0.04191275,0
162,0.670784552,1
163,0.003884617,0
164,0.022733919,0
165,0.010417105,0
166,9.12E-07,0
167,0.068220968,0
168,0.016485349,0
169,0.109684199,0
170,8.11E-05,0
171,1.71E-08,0
172,0.001864847,0
173,0.00175267,0
174,0.003341769,0
175,0.132795733,0
176,1.11E-11,0
177,1.94E-05,0
178,0.618442145,1
179,0.002206167,0
180,1.20E-13,0
181,0.021851429,0
182,0.056944911,0
183,0.652191737,1
184,0.049716821,0
185,0.002094349,0
186,0.07203743,0
187,0.053569365,0
188,0.049736752,0
189,0.93377128,1
190,0.016904568,0
191,3.05E-05,0
192,4.29E-05,0
193,0.02589569,0
194,0.000652283,0
195,0.000665108,0
196,0.215230147,1
197,0.300134733,1
198,1.623797536,1
199,0.001972986,0
200,0.000667101,0
201,0.000571232,0
202,0.040730494,0
203,0.003814263,0
204,0.24537328,1
205,1.36E-05,0
206,0.056944911,0
207,0.000678717,0
208,0.033650169,0
209,9.42E-05,0
210,0.278181754,1
211,0.000562309,0
212,0.036738706,0
213,0.422583852,1
214,0.000522404,0
215,0.000225567,0
216,0.002117514,0
217,0.007736531,0
218,0.005222684,0
219,0.038299772,0
220,0.223323711,1
221,0.001194947,0
222,0.529443156,1
223,0.053620126,0
224,0.29197922,1
225,0.08439895,0
226,0.000544091,0
227,0.000525091,0
228,0.136251265,0
229,0.057651333,0
230,0.121156478,0
231,0.045414485,0
232,0.068449097,0
233,0.002652851,0
234,0.257043967,1
235,0.014437412,0
236,0.053561368,0
237,0.001518869,0
238,0.275699563,1
239,0.452986782,1
240,0.002041687,0
241,12.94161103,1
242,0.015452134,0
243,0.001656642,0
244,0.065174398,0
245,0.086649279,0
246,0.111038769,0
247,0.456998029,1
248,0.000355167,0
249,0.003313253,0
250,4.715702513,1
251,2.58E-05,0
252,0.00144317,0
253,0.129178144,0
254,0.003299926,0
255,0.000942524,0
256,1.88E-08,0
257,0.045356238,0
258,0.590223611,1
259,0.001052809,0
260,2.119930933,1
261,0.579729157,1
262,0.170129197,0
263,0.000710188,0
264,0.279373055,1
265,0.000538755,0
266,0.94007842,1
267,0.356882624,1
268,3.95E-08,0
269,0.000337533,0
270,1.21E-05,0
271,0.084816729,0
272,0.020522027,0
273,6.63E-05,0
274,0.001639982,0
275,0.037190134,0
276,0.005587969,0
277,0.519120493,1
278,0.501590231,1
279,0.223432427,1
280,0.00422527,0
281,0.000973187,0
282,0.000326581,0
283,0.280077762,1
284,3.163194254,1
285,0.002121778,0
286,0.015027403,0
287,0.000581679,0
288,0.231401836,1
289,0.109589601,0
290,0.516213353,1
291,0.049270322,0
292,0.00065705,0
293,0.135504577,0
294,0.001323323,0
295,0.058613555,0
296,0.010293987,0
297,0.000732575,0
298,1.64E-07,0
299,0.002189015,0
300,0.476827605,1
301,0.19676135,1
302,0.081321188,0
303,0.000435034,0
304,0.003773738,0
305,5.84E-05,0
306,2.33E-08,0
307,0.041981548,0
308,5.82E-06,0
309,0.027910148,0
310,0.135031666,0
311,0.043877467,0
312,0.001669389,0
313,0.005693493,0
314,0.007166345,0
315,0.00048044,0
316,8.32E-05,0
317,0.001721023,0
318,4.446261339,1
319,0.002429218,0
320,0.003364362,0
321,0.000474682,0
322,0.46832996,1
323,0.02880912,0
324,5.10E-05,0
325,2.076907734,1
326,0.186957778,0
327,0.268377396,1
328,0.003188678,0
329,1.436705465,1
330,0.056032967,0
331,0.135047719,0
332,0.002047646,0
333,0.005929907,0
334,0.012385518,0
335,1.28E-07,0
336,0.020247508,0
337,0.066591781,0
338,0.004769578,0
339,0.22777303,1
340,4.67E-05,0
341,0.114352032,0
342,0.088138045,0
343,0.003809637,0
344,0.364499198,1
345,0.00422048,0
346,0.000653101,0
347,0.062973758,0
348,0.000622003,0
349,0.07077096,0
